doc_id,topic,secondary_topics,indexed_title,document_type,url,language_hint,pub_date_hint,pub_date_hint_source,organization_hint
MOSPI-DOC-001,survey_design,sampling,"A-1 Note on Sample Design and Estimation Procedure: NSS 76th Round",methodology_note,https://mospi.gov.in/sites/default/files/NSS7612dws/Estimation%20Procedure_NSS%2076.pdf,English,NSS 76th Round,title,MoSPI / NSO
MOSPI-DOC-002,survey_design,sampling,"Instructions to Field Staff (HCES) Vol I",instruction_manual,https://www.mospi.gov.in/sites/default/files/publication_reports/Final_Vol_I-HCES.pdf,English,UNKNOWN,none,MoSPI / NSO
MOSPI-DOC-003,survey_design,agricultural_statistics,"Chapter Three Schedule 33.1 Instructions to Field Staff, Vol-1, NSS 77th Round",instruction_manual,https://mospi.gov.in/sites/default/files/publication_reports/ins.0.0%2C77%2CCh3.pdf,English,NSS 77th Round,title,MoSPI / NSO
MOSPI-DOC-004,national_accounts,official_methodology,"National Accounts Statistics: Sources and Methods (2012)",methodology_manual,https://www.mospi.gov.in/sites/default/files/publication_reports/sources_method_2012%20(1).pdf,English,2012,filename,MoSPI / NSO
MOSPI-DOC-005,national_accounts,official_methodology,"National Accounts Statistics: Manual on Estimation of State and District Income",methodology_manual,https://www.mospi.gov.in/sites/default/files/publication_reports/national_accounta.pdf,English,UNKNOWN,none,MoSPI / NSO
MOSPI-DOC-006,national_accounts,definitions,"FAQ on GDP (26 Feb 2026)",faq_definitions,https://www.mospi.gov.in/uploads/announcements/announcements_1772117257791_84ae898f-7be2-4b7d-a135-565e1a809513_FAQ_GDP_26022026_1902.pdf,English,2026-02-26,filename,MoSPI / NSO
MOSPI-DOC-007,national_accounts,metadata,"National Accounts - Compliance of Metadata (concept / details)",metadata_sheet,https://www.mospi.gov.in/sites/default/files/Compliance_of_Metadata_of_National_AccountUpdated.pdf,English,UNKNOWN,none,MoSPI / NSO
MOSPI-DOC-008,price_statistics,definitions,"Frequently Asked Questions (FAQs) on CPI 2024 Series",faq_definitions,https://www.mospi.gov.in/uploads/documents/documents/1770891066052-Annexure_V.pdf,English,UNKNOWN,none,MoSPI / NSO
MOSPI-DOC-009,price_statistics,official_methodology,"Consumer Price Index: Changes in the Revised Series (Base Year 2012 = 100)",methodology_note,https://www.cpi.mospi.gov.in/PDFile/CPI-Changes_in_the_Revised_Series.pdf,English,UNKNOWN,none,MoSPI / NSO
MOSPI-DOC-010,price_statistics,official_methodology,"CSO-MCPI-2010 Manual on Consumer Price Index 2010",methodology_manual,https://mospi.gov.in/sites/default/files/publication_reports/manual_cpi_2010.pdf,English,2010,title,MoSPI / CSO
MOSPI-DOC-011,price_statistics,official_methodology,"Report of the Committee on Price Statistics",committee_report,https://mospi.gov.in/sites/default/files/committee_reports/Final_Report_of_the_Committee_on_Prices.pdf,English,UNKNOWN,none,MoSPI
MOSPI-DOC-012,price_statistics,official_methodology,"Expert Group Report on Comprehensive Updation of CPI",committee_report,https://www.mospi.gov.in/uploads/Marquee/doc-0aee0026-bf32-4213-ae4f-c5308088444e.pdf,English,UNKNOWN,none,MoSPI / NSO
MOSPI-DOC-013,labour_statistics,official_methodology,"Periodic Labour Force Survey (PLFS) - changes in 2025",methodology_note,https://www.mospi.gov.in/sites/default/files/publication_reports/PLFS_changes_in_2025_Final.pdf,English,2025,filename,MoSPI / NSO
