doc_id,title,title_status,url,document_type,topic,secondary_topics,organization,organization_status,publication_date,publication_date_status,server_last_modified,language,language_status,download_status,http_status,content_type,content_length_bytes,copyright_usage_status,notes
MOSPI-DOC-001,A-1 Note on Sample Design and Estimation Procedure: NSS 76th Round,UNVERIFIED_SECONDHAND,https://mospi.gov.in/sites/default/files/NSS7612dws/Estimation%20Procedure_NSS%2076.pdf,methodology_note,survey_design,sampling,MoSPI / NSO,UNVERIFIED_SECONDHAND,NSS 76th Round,UNVERIFIED_SECONDHAND,"Sat, 23 Nov 2019 07:00:52 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,1116575,UNKNOWN,
MOSPI-DOC-002,Instructions to Field Staff (HCES) Vol I,UNVERIFIED_SECONDHAND,https://www.mospi.gov.in/sites/default/files/publication_reports/Final_Vol_I-HCES.pdf,instruction_manual,survey_design,sampling,MoSPI / NSO,UNVERIFIED_SECONDHAND,UNKNOWN,UNKNOWN,"Wed, 11 Oct 2023 12:43:10 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,2147606,UNKNOWN,
MOSPI-DOC-003,"Chapter Three Schedule 33.1 Instructions to Field Staff, Vol-1, NSS 77th Round",UNVERIFIED_SECONDHAND,https://mospi.gov.in/sites/default/files/publication_reports/ins.0.0%2C77%2CCh3.pdf,instruction_manual,survey_design,agricultural_statistics,MoSPI / NSO,UNVERIFIED_SECONDHAND,NSS 77th Round,UNVERIFIED_SECONDHAND,"Tue, 22 Jan 2019 05:07:36 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,1583501,UNKNOWN,Search-index URL contained literal commas and returned HTTP 404; the percent-encoded form (%2C) is live. Also relevant to agricultural statistics (Schedule 33.1 = Situation Assessment Survey).
MOSPI-DOC-004,National Accounts Statistics: Sources and Methods (2012),UNVERIFIED_SECONDHAND,https://www.mospi.gov.in/sites/default/files/publication_reports/sources_method_2012%20(1).pdf,methodology_manual,national_accounts,official_methodology,MoSPI / NSO,UNVERIFIED_SECONDHAND,2012,UNVERIFIED_SECONDHAND,"Fri, 01 Jul 2016 05:40:48 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,5245408,UNKNOWN,Core national accounts methodology text. Filename says 2012; whether this edition reflects the 2011-12 base series is UNKNOWN until opened.
MOSPI-DOC-005,National Accounts Statistics: Manual on Estimation of State and District Income,UNVERIFIED_SECONDHAND,https://www.mospi.gov.in/sites/default/files/publication_reports/national_accounta.pdf,methodology_manual,national_accounts,official_methodology,MoSPI / NSO,UNVERIFIED_SECONDHAND,UNKNOWN,UNKNOWN,"Fri, 01 Jul 2016 05:43:12 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,2517681,UNKNOWN,
MOSPI-DOC-006,FAQ on GDP (26 Feb 2026),UNVERIFIED_SECONDHAND,https://www.mospi.gov.in/uploads/announcements/announcements_1772117257791_84ae898f-7be2-4b7d-a135-565e1a809513_FAQ_GDP_26022026_1902.pdf,faq_definitions,national_accounts,definitions,MoSPI / NSO,UNVERIFIED_SECONDHAND,2026-02-26,UNVERIFIED_SECONDHAND,"Thu, 26 Feb 2026 14:47:37 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,136754,UNKNOWN,Recent (Feb 2026). Likely tied to a GDP base revision; confirm before teaching.
MOSPI-DOC-007,National Accounts - Compliance of Metadata (concept / details),UNVERIFIED_SECONDHAND,https://www.mospi.gov.in/sites/default/files/Compliance_of_Metadata_of_National_AccountUpdated.pdf,metadata_sheet,national_accounts,metadata,MoSPI / NSO,UNVERIFIED_SECONDHAND,UNKNOWN,UNKNOWN,"Tue, 10 Oct 2023 09:42:08 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,474791,UNKNOWN,
MOSPI-DOC-008,Frequently Asked Questions (FAQs) on CPI 2024 Series,UNVERIFIED_SECONDHAND,https://www.mospi.gov.in/uploads/documents/documents/1770891066052-Annexure_V.pdf,faq_definitions,price_statistics,definitions,MoSPI / NSO,UNVERIFIED_SECONDHAND,UNKNOWN,UNKNOWN,"Thu, 12 Feb 2026 10:11:06 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,273029,UNKNOWN,"Filename is 'Annexure_V' - this is an annexure to a larger release, not a standalone publication. Parent document not identified."
MOSPI-DOC-009,Consumer Price Index: Changes in the Revised Series (Base Year 2012 = 100),UNVERIFIED_SECONDHAND,https://www.cpi.mospi.gov.in/PDFile/CPI-Changes_in_the_Revised_Series.pdf,methodology_note,price_statistics,official_methodology,MoSPI / NSO,UNVERIFIED_SECONDHAND,UNKNOWN,UNKNOWN,UNKNOWN,English,UNVERIFIED_SECONDHAND,NETWORK_ERROR,,UNKNOWN,,UNKNOWN,"Hosted on cpi.mospi.gov.in subdomain, which refused connections (timeout on port 443) from this environment. Describes the 2012 base series, which search results indicate has been superseded by a 2024 base series."
MOSPI-DOC-010,CSO-MCPI-2010 Manual on Consumer Price Index 2010,UNVERIFIED_SECONDHAND,https://mospi.gov.in/sites/default/files/publication_reports/manual_cpi_2010.pdf,methodology_manual,price_statistics,official_methodology,MoSPI / CSO,UNVERIFIED_SECONDHAND,2010,UNVERIFIED_SECONDHAND,"Fri, 01 Jul 2016 05:43:24 GMT",English,UNVERIFIED_SECONDHAND,DOWNLOADABLE_PDF,200,application/pdf,5413523,UNKNOWN,"2010 CPI manual. Historical: predates the 2012 and 2024 base revisions. Teach as history of method, not current practice."
