source_id,organisation,source_name,tier,domain_topic,homepage_url,homepage_status,access_method,access_method_status,api_documented,api_base_url,auth_required,auth_type,data_formats,update_frequency,temporal_coverage,geographic_granularity,licence,licence_status,robots_txt_checked,bulk_download_available,record_status,priority,owner,last_checked_date,evidence_path,notes
SRC-001,MoSPI,Ministry of Statistics and Programme Implementation - main portal,1,Institutional / cross-cutting,https://mospi.gov.in,MACHINE_OBSERVED,Direct PDF file URLs; site pages are a client-side SPA,MACHINE_OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PDF,UNKNOWN,UNKNOWN,UNKNOWN,Reproduction permitted with acknowledgement of source (search-summary quote; not read at source),UNVERIFIED_SECONDHAND,MACHINE_OBSERVED: no robots.txt served; path returns SPA HTML,UNKNOWN,UNKNOWN,P1,UNASSIGNED,2026-09-14,docs/evidence/MoSPI/; data/interim/mospi_metadata.json,AUDIT-MOSPI-001 (2026-09-14): 31 methodology PDFs confirmed live. MVP collection 2026-09-14: 12 documents downloaded to data/raw/mospi (see data/interim/mospi_metadata.json). No usage notice inside any document; site terms UNVERIFIED_SECONDHAND.
SRC-002,MoSPI / NSO,National Sample Survey (NSS) - unit-level and report data,1,Household surveys,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P1,UNASSIGNED,UNKNOWN,UNKNOWN,Unit-level microdata is person-level in principle. See SOURCE_AUDIT.md before any download.
SRC-003,MoSPI / NSO,Periodic Labour Force Survey (PLFS),1,Labour and employment,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P1,UNASSIGNED,UNKNOWN,UNKNOWN,Aggregate indicator tables are the target. Microdata is out of scope for this phase.
SRC-004,MoSPI / NSO,Consumer Price Index (CPI),1,Prices and inflation,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P1,UNASSIGNED,UNKNOWN,UNKNOWN,High teaching value. Monthly series with a clear base-year revision history.
SRC-005,MoSPI / NSO,Index of Industrial Production (IIP),1,Industry,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P1,UNASSIGNED,UNKNOWN,UNKNOWN,Useful for teaching the provisional-versus-final revision concept.
SRC-006,MoSPI / NSO,National Accounts Statistics (GDP / NAS),1,National accounts,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P1,UNASSIGNED,UNKNOWN,UNKNOWN,Multiple estimate vintages per year. Vintage handling must be designed before ingestion.
SRC-007,MoSPI / NSO,Annual Survey of Industries (ASI),2,Industry,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P2,UNASSIGNED,UNKNOWN,UNKNOWN,Establishment-level data. Confidentiality rules are likely stricter than for household surveys.
SRC-008,MoSPI,eSankhyiki data portal,1,Cross-cutting data portal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P1,UNASSIGNED,UNKNOWN,UNKNOWN,Existence and current name to be confirmed by a human before any reliance.
SRC-009,NITI Aayog,National Data and Analytics Platform (NDAP),1,Cross-cutting data portal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P1,UNASSIGNED,UNKNOWN,UNKNOWN,Candidate single entry point for many indicators. Terms of use must be read in full.
SRC-010,NIC / DIC,Open Government Data (OGD) Platform India,1,Cross-cutting data portal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P1,UNASSIGNED,UNKNOWN,UNKNOWN,Believed to offer registered-key API access. Registration process and quota are UNKNOWN.
SRC-011,RBI,Reserve Bank of India statistics / DBIE,1,Money banking and finance,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P2,UNASSIGNED,UNKNOWN,UNKNOWN,Outside MoSPI but part of the wider official statistical system.
SRC-012,ORGI / MHA,Census of India,1,Population,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P1,UNASSIGNED,UNKNOWN,UNKNOWN,Reference frame for most denominators. Latest available census year is UNKNOWN and must be confirmed.
SRC-013,ORGI,Sample Registration System (SRS),2,Vital statistics,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P2,UNASSIGNED,UNKNOWN,UNKNOWN,Possibly PDF-only publication. Extraction cost to be assessed.
SRC-014,ORGI,Civil Registration System (CRS),3,Vital statistics,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P3,UNASSIGNED,UNKNOWN,UNKNOWN,Included for completeness of the vital statistics picture.
SRC-015,MoHFW / IIPS,National Family Health Survey (NFHS),2,Health and demography,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P2,UNASSIGNED,UNKNOWN,UNKNOWN,Access may require registration and a data-use agreement. Treat as restricted until confirmed.
SRC-016,MoE,Unified District Information System for Education (UDISE+),2,Education,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P2,UNASSIGNED,UNKNOWN,UNKNOWN,District granularity makes this attractive for sub-national teaching examples.
SRC-017,MoE,All India Survey on Higher Education (AISHE),3,Education,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P3,UNASSIGNED,UNKNOWN,UNKNOWN,No additional notes yet.
SRC-018,MoA and FW / DES,Agricultural Statistics at a Glance,3,Agriculture,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P3,UNASSIGNED,UNKNOWN,UNKNOWN,No additional notes yet.
SRC-019,MoC and I / DGCIS,Foreign trade statistics,3,External sector,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P3,UNASSIGNED,UNKNOWN,UNKNOWN,No additional notes yet.
SRC-020,MoLE / Labour Bureau,Labour Bureau statistics,3,Labour and employment,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P3,UNASSIGNED,UNKNOWN,UNKNOWN,No additional notes yet.
SRC-021,MoSPI,National Statistical Commission - reports and standards,2,Governance and methodology,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P2,UNASSIGNED,UNKNOWN,UNKNOWN,Text corpus rather than numeric data. Primary value is curriculum content not indicators.
SRC-022,MoSPI,Classification standards (NIC / NCO / NPCMS),2,Governance and methodology,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P2,UNASSIGNED,UNKNOWN,UNKNOWN,Needed as controlled vocabularies for the data dictionary. Version years are UNKNOWN.
SRC-023,MoSPI,SDG National Indicator Framework,2,Cross-cutting indicators,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P2,UNASSIGNED,UNKNOWN,UNKNOWN,Maps many of the above sources onto a single indicator spine. Useful as a navigation layer.
SRC-024,INTERNAL,Mock indicator fixtures for pipeline development,4,Internal fixture,NOT_APPLICABLE,NOT_APPLICABLE,LOCAL_FILE,MOCK,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,JSON,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,INTERNAL,MOCK,NOT_APPLICABLE,NOT_APPLICABLE,MOCK,P1,UNASSIGNED,2026-09-14,data/samples/mock/,Synthetic. Never to be presented as official statistics or merged into data/processed.
SRC-025,MoSPI / NSO,National Statistical Systems Training Academy (NSSTA),1,Training and capacity building,https://nssta.gov.in/,MACHINE_OBSERVED,Official calendars/documents as direct PDF URLs on mospi.gov.in; nssta.gov.in pages are JavaScript shells,MACHINE_OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PDF,UNKNOWN,2016 to 2025 (observed document modification dates),NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,P1,UNASSIGNED,2026-09-14,docs/evidence/NSSTA/; data/interim/nssta_metadata.json,MVP collection 2026-09-14: 6 PDFs downloaded; 99 programmes parsed from FY 2025-26 calendar; 16 TPAC references; RTI compendium link held back (personal information). Offerings/Documents pages still JS-only. nssta.attendance.gov.in EXCLUDED: personal data.
